stt,product_title,sku,product_url,image_url,status
50,[Combo] Gói Sản Phẩm Casambi Phòng Ăn,combo-goi-san-pham-casambi-phong-an,https://knxstore.vn/products/combo-goi-san-pham-casambi-phong-an,https://knxstore.vn/assets/image/product/combo-goi-san-pham-casambi-phong-an_2.jpg,ok
51,[Combo] Gói Sản Phẩm Casambi Phòng Họp,combo-goi-san-pham-casambi-phong-hop,https://knxstore.vn/products/combo-goi-san-pham-casambi-phong-hop,https://knxstore.vn/assets/image/product/combo-goi-san-pham-casambi-phong-hop_2.jpg,ok
52,[Combo] Gói Sản Phẩm Casambi Phòng Khách,combo-goi-san-pham-casambi-phong-khach,https://knxstore.vn/products/combo-goi-san-pham-casambi-phong-khach,https://knxstore.vn/assets/image/product/combo-goi-san-pham-casambi-phong-khach_2.jpg,ok
53,[Combo] Gói Sản Phẩm Casambi Phòng Làm Việc,combo-goi-san-pham-casambi-phong-lam-viec,https://knxstore.vn/products/combo-goi-san-pham-casambi-phong-lam-viec,https://knxstore.vn/assets/image/product/combo-goi-san-pham-casambi-phong-lam-viec_2.jpg,ok
54,[Combo] Gói Sản Phẩm Casambi Phòng Ngủ Master,combo-goi-san-pham-casambi-phong-ngu-master,https://knxstore.vn/products/combo-goi-san-pham-casambi-phong-ngu-master,https://knxstore.vn/assets/image/product/combo-goi-san-pham-casambi-phong-ngu-master_2.jpg,ok
55,Công tắc điều khiển 4 phím không dây Casambi Siqitech D1-CB02,cong-tac-dieu-khien-4-phim-khong-day-casambi-siqitech-d1-cb02,https://knxstore.vn/products/cong-tac-dieu-khien-4-phim-khong-day-casambi-siqitech-d1-cb02,https://knxstore.vn/assets/image/product/cong-tac-dieu-khien-4-phim-khong-day-casambi-siqitech-d1-cb01.jpg,ok
56,Công tắc điều khiển xoay 3 phím bấm Casambi D1 Siqitech - XD1PN1L,cong-tac-dieu-khien-xoay-3-phim-bam-casambi-d1,https://knxstore.vn/products/cong-tac-dieu-khien-xoay-3-phim-bam-casambi-d1,https://knxstore.vn/assets/image/product/cong-tac-dieu-khien-xoay-3-phim-bam-casambi-d1.jpg,ok
57,"Công tắc điều khiển xoay LCD, 3 phím bấm đa chức năng Casambi D1 Siqitech - XD1PN3L",cong-tac-dieu-khien-xoay-lcd-3-phim-bam-da-chuc-nang-casambi-d1-siqitech-xd1pn3l,https://knxstore.vn/products/cong-tac-dieu-khien-xoay-lcd-3-phim-bam-da-chuc-nang-casambi-d1-siqitech-xd1pn3l,https://knxstore.vn/assets/image/product/cong-tac-dieu-khien-xoay-lcd-3-phim-bam-da-chuc-nang-casambi-d1-siqitech-xd1pn3l1.jpg,ok
58,"Dimmer LED dây 5 ngõ ra RGB, RGBW, TW Casambi DALCNET",dalcnet-dimmer-led-casambi-line-5cv-casambi,https://knxstore.vn/products/dalcnet-dimmer-led-casambi-line-5cv-casambi,https://knxstore.vn/assets/image/product/dalcnet-dimmer-led-casambi-line-5cv-casambi_9.jpg,ok
59,Module điều khiển Casambi Danlers - CBU-RELAY,danlers-module-dieu-khien-cbu-relay,https://knxstore.vn/products/danlers-module-dieu-khien-cbu-relay,https://knxstore.vn/assets/image/product/danlers-module-dieu-khien-cbu-relay_3.jpg,ok
60,Điều khiển 6 phím cảm biến tiệm cận Casambi Vlinca - VBA-SSR6,dieu-khien-6-phim-co-cam-bien-2-ngo-ra-on-off-casambi-vlinca-vba-ssr6,https://knxstore.vn/products/dieu-khien-6-phim-co-cam-bien-2-ngo-ra-on-off-casambi-vlinca-vba-ssr6,https://knxstore.vn/assets/image/product/dieu-khien-6-phim-co-cam-bien-2-ngo-ra-on-off-casambi-vlinca-vba-ssr6.jpg,ok
61,Bộ điều khiển dimmer Triac Casambi Maintronic - CRD400,dimmer-dieu-chinh-do-sang-led-casambi-retrofit-crd-ins-casambi-crd400,https://knxstore.vn/products/dimmer-dieu-chinh-do-sang-led-casambi-retrofit-crd-ins-casambi-crd400,https://knxstore.vn/assets/image/product/dimmer-dieu-chinh-do-sang-led-casambi-retrofit-crd-ins-casambi-crd400.jpg,ok
62,Bộ điều khiển dimmer Triac Casambi 1 kênh DALCNET - MINI-1AC-CASAMBI,dimmer-led-ac-casambi-1-kenh-ho-tro-nut-nhan-casambi-mini-1ac-casambi,https://knxstore.vn/products/dimmer-led-ac-casambi-1-kenh-ho-tro-nut-nhan-casambi-mini-1ac-casambi,https://knxstore.vn/assets/image/product/dimmer-led-ac-casambi-1-kenh-ho-tro-nut-nhan-casambi-mini-1ac-casambi.jpg,ok
63,Dimmer 220V triac Casambi EBELONG - ERC1201-CAS,ebelong-dimmer-220v-triac-casambi-erc1201-cas,https://knxstore.vn/products/ebelong-dimmer-220v-triac-casambi-erc1201-cas,https://knxstore.vn/assets/image/product/ebelong-dimmer-220v-triac-casambi-erc1201-cas_1.jpg,ok
64,Giá đỡ NEMA gắn tường Olfer - JL-260C-E2M-7P-SS,gia-do-nema-gan-tuong-jl-260c-exm-7p-ss,https://knxstore.vn/products/gia-do-nema-gan-tuong-jl-260c-exm-7p-ss,https://knxstore.vn/assets/image/product/gia-do-nema-gan-tuong-jl-260c-exm-7p-ss_5.jpg,ok
65,LED Driver CC Casambi 12W 6-42V 1 kênh NFC - SRP-CA9105N-12CC100-700,led-driver-cc-casambi-12w-6-42v-1-kenh-nfc,https://knxstore.vn/products/led-driver-cc-casambi-12w-6-42v-1-kenh-nfc,https://knxstore.vn/assets/image/product/led-driver-cc-casambi-12w-6-42v-1-kenh-nfc.jpg,ok
66,LED Driver CC Casambi 12W 6-42V 2 kênh NFC - SRP-CA9105N-12CCT100-700,led-driver-cc-casambi-12w-6-42v-2-kenh-nfc,https://knxstore.vn/products/led-driver-cc-casambi-12w-6-42v-2-kenh-nfc,https://knxstore.vn/assets/image/product/led-driver-cc-casambi-12w-6-42v-2-kenh-nfc.jpg,ok
67,LED Driver CC Casambi 15W 6-42V 1 kênh NFC - SRP-CA9105N-15CC100-700,led-driver-cc-casambi-15w-6-42v-1-kenh-nfc,https://knxstore.vn/products/led-driver-cc-casambi-15w-6-42v-1-kenh-nfc,https://knxstore.vn/assets/image/product/led-driver-cc-casambi-15w-6-42v-1-kenh-nfc.jpg,ok
68,LED Driver CC Casambi 15W 6-42V 2 kênh NFC - SRP-CA9105N-15CCT100-700,led-driver-cc-casambi-15w-6-42v-2-kenh-nfc,https://knxstore.vn/products/led-driver-cc-casambi-15w-6-42v-2-kenh-nfc,https://knxstore.vn/assets/image/product/led-driver-cc-casambi-15w-6-42v-2-kenh-nfc.jpg,ok
69,LED Driver CC Casambi 25W 6-54V 1 kênh NFC - SRP-CA9105N-25CC250-700,led-driver-cc-casambi-25w-6-54v-1-kenh-nfc,https://knxstore.vn/products/led-driver-cc-casambi-25w-6-54v-1-kenh-nfc,https://knxstore.vn/assets/image/product/led-driver-cc-casambi-25w-6-54v-1-kenh-nfc.jpg,ok
70,LED Driver CC Casambi 25W 6-54V 2 kênh NFC - SRP-CA9105N-25CCT250-700,led-driver-cc-casambi-25w-6-54v-2-kenh-nfc,https://knxstore.vn/products/led-driver-cc-casambi-25w-6-54v-2-kenh-nfc,https://knxstore.vn/assets/image/product/led-driver-cc-casambi-25w-6-54v-2-kenh-nfc.jpg,ok
